player_id,player_name,birth_date,position,price,is_visionary,my_team
Oa5wVYNBM1,Abby Dahlkemper,1993-05-13,Defender,8,,
7vQ7rjrGqD,Abby Smith,1993-10-04,Goalkeeper,4,TRUE,
Xj5Y9zKX5b,Alana Cook,1997-04-11,Defender,5.5,,
kRQabk1gMK,Alanna Kennedy,1995-01-21,Defender,5.5,,
a35ry6BLML,Ally Sentnor,2004-02-18,Forward,6.5,,
0Oq6w6D6Q6,Ally Watt,1997-03-12,Forward,9,,
EGMPZanrqa,Alyssa Malonson,1999-04-09,Defender,4.5,,
9z5k7P4g5A,Alyssa Naeher,1988-04-20,Goalkeeper,4.5,,
p6qboEVwQ0,Alyssa Thompson,2004-11-07,Forward,9,,
ljqE241EQx,Angelina,2000-01-26,Midfielder,8,,
eV5DzaEmQK,Angelina Anderson,2001-03-22,Goalkeeper,4.5,,
9vQ22r1mQK,Ann-Katrin Berger,1990-10-09,Goalkeeper,5.5,,
xW5prWVJQg,Anna Moorhouse,1995-03-30,Goalkeeper,5.5,,
2lqRkmXAQr,Arin Wright,1992-12-25,Defender,5,,
zeQZXA7r5K,Ary Borges,1999-12-28,Midfielder,5,,
7VqGjK3A5v,Ashley Hatch,1995-05-25,Forward,9.5,,
gpMOoXeOMz,Ashley Sanchez,1999-03-16,Forward,9,,
9vQ22xyLQK,Aubrey Kingsbury,1991-11-20,Goalkeeper,5.5,,
OlMlBWxRqL,Avery Patterson,2002-06-14,Forward,7,,
BLMv7oZO5x,Barbra Banda,2000-03-20,Forward,12,,
Oa5wAbPDQ1,Bella Bixby,1995-11-20,Goalkeeper,4,,
odMX8ElWMY,Bia Zaneratto,1993-12-17,Forward,10,,TRUE
eVq3xvJGQW,Bruninha,2002-06-16,Defender,4.5,TRUE,
KAqBNzkXqb,Bárbara Olivieri,2002-02-24,Midfielder,7,,
e7MzzAdjMr,Caiya Hanks,2004-09-26,Forward,4.5,,
0Oq6wlg7Q6,Caprice Dydasco,1993-08-19,Defender,5,,
2vQ1R1WbMr,Caroline Conti,2001-03-28,Forward,4.5,,
gOMnRboOMw,Carson Pickett,1993-09-15,Defender,7.5,,
ljqE2r4oQx,Casey Murphy,1996-04-25,Goalkeeper,5,,
4wM4ZnXgqj,Claire Emslie,1994-03-08,Forward,8,,
Vj58lRaD58,Claire Hutton,2006-01-11,Midfielder,5.5,,
p6qbooA6Q0,Claudia Dickey,2000-01-06,Goalkeeper,4,,
jYQJaBrVqG,Claudia Zornoza,1990-10-20,Midfielder,6.5,,
7vQ7rAjzqD,Cori Dyke,2000-09-20,Midfielder,6.5,TRUE,
NWMWV0NYQl,Courtney Petersen,1997-10-28,Midfielder,5,,
aDQ0NLmE5E,Croix Bethune,2001-03-14,Midfielder,9,,
2lqRRddLqr,Debinha,1991-10-20,Midfielder,8,,TRUE
e7MzJRO7Mr,Delanie Sheehan,1999-01-13,Midfielder,5,,
N6MmepOxME,Delphine Cascarino,1997-02-05,Forward,6,,
XVqKeJGwM0,Deyna Castellanos,1999-04-18,Forward,6.5,TRUE,
vzqodxkjQa,Dorian Bailey,1997-01-28,Midfielder,8,TRUE,
wvq9edeNqW,Elizabeth Ball,1995-10-20,Defender,5,,
Vj583B8LM8,Ella Hase,2002-07-12,Defender,4,TRUE,
e7Mzlyyeqr,Ella Stevens,1997-12-11,Forward,10,,
wvq9gol1MW,Ellie Jean,1997-01-31,Defender,4,TRUE,TRUE
jYQJa0vBqG,Ellis Wheeler,2001-12-14,Defender,5.5,,
